@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
       19700.00          0.3318          0.4449 
       19750.00          0.3516          0.3717 
       19800.00          0.3699          0.3349 
       19850.00          0.3969          0.3464 
       19900.00          0.4053          0.4656 
       19950.00          0.4380          0.5040 
       20000.00          0.4403          0.5298 
       20050.00          0.4842          0.6441 
       20100.00          0.5125          0.6815 
       20150.00          0.4581          0.6358 
       20200.00          0.4411          0.6242 
       20250.00          0.4947          0.6591 
       20300.00          0.5096          0.6860 
       20350.00          0.4938          0.6507 
       20400.00          0.4676          0.6853 
       20450.00          0.4964          0.6445 
       20500.00          0.4508          0.6232 
       20550.00          0.3931          0.5595 
       20600.00          0.3877          0.5681 
       20650.00          0.3907          0.4689 
       20700.00          0.4296          0.3891 
       20750.00          0.4195          0.3653 
       20800.00          0.4445          0.4173 
       20850.00          0.3923          0.4710 
       20900.00          0.3985          0.5585 
       20950.00          0.3948          0.5576 
       21000.00          0.3537          0.5199 
       21050.00          0.3767          0.4688 
       21100.00          0.3925          0.4756 
       21150.00          0.4310          0.5412 
       21200.00          0.4260          0.4809 
       21250.00          0.3820          0.4850 
       21300.00          0.4007          0.5651 
       21350.00          0.3452          0.5569 
       21400.00          0.3478          0.5163 
       21450.00          0.3865          0.5420 
       21500.00          0.4229          0.5358 
       21550.00          0.4050          0.5028 
       21600.00          0.4312          0.5554 
       21650.00          0.4231          0.5643 
       21700.00          0.4319          0.5885 
       21750.00          0.4965          0.6630 
       21800.00          0.4643          0.6591 
       21850.00          0.4902          0.6959 
       21900.00          0.4794          0.6636 
       21950.00          0.4797          0.6868 
       22000.00          0.4617          0.6519 
       22050.00          0.4523          0.6351 
       22100.00          0.4164          0.6194 
       22150.00          0.3698          0.5761 
       22200.00          0.3955          0.5057 
       22250.00          0.3530          0.5472 
       22300.00          0.3935          0.4737 
       22350.00          0.3837          0.4020 
       22400.00          0.3582          0.4524 
       22450.00          0.3043          0.4885 
       22500.00          0.4182          0.4952 
       22550.00          0.4269          0.4569 
       22600.00          0.4082          0.4758 
       22650.00          0.3948          0.4208 
       22700.00          0.3917          0.3921 
       22750.00          0.3998          0.3991 
       22800.00          0.3903          0.2718 
       22850.00          0.4345          0.3530 
       22900.00          0.4002          0.3900 
       22950.00          0.4487          0.3915 
       23000.00          0.3843          0.3975 
       23050.00          0.3678          0.4074 
       23100.00          0.3841          0.3864 
       23150.00          0.4005          0.4019 
       23200.00          0.3884          0.4864 
       23250.00          0.4250          0.4396 
       23300.00          0.4029          0.3705 
       23350.00          0.4062          0.4552 
