@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
       23650.00          0.0854          0.4393 
       23700.00          0.1305          0.4381 
       23750.00          0.1110          0.4495 
       23800.00          0.1223          0.4452 
       23850.00          0.1247          0.4489 
       23900.00          0.1339          0.4623 
       23950.00          0.1574          0.4379 
       24000.00          0.1829          0.4155 
       24050.00          0.1473          0.4497 
       24100.00          0.1467          0.4533 
       24150.00          0.1481          0.4264 
       24200.00          0.1442          0.4373 
       24250.00          0.1078          0.4541 
       24300.00          0.0990          0.4514 
       24350.00          0.1257          0.4506 
       24400.00          0.1696          0.4428 
       24450.00          0.1550          0.4345 
       24500.00          0.2013          0.4157 
       24550.00          0.1285          0.4414 
       24600.00          0.0986          0.4557 
       24650.00          0.1150          0.4715 
       24700.00          0.0941          0.4615 
       24750.00          0.0801          0.4603 
       24800.00          0.0988          0.4735 
       24850.00          0.1246          0.4439 
       24900.00          0.0647          0.4591 
       24950.00          0.1135          0.4699 
       25000.00          0.1489          0.4543 
       25050.00          0.1031          0.4612 
       25100.00          0.1339          0.4515 
       25150.00          0.0697          0.4599 
       25200.00          0.1156          0.4647 
       25250.00          0.1054          0.4631 
       25300.00          0.0968          0.4629 
       25350.00          0.1588          0.4157 
       25400.00          0.1116          0.4598 
       25450.00          0.1287          0.4538 
       25500.00          0.1313          0.4510 
       25550.00          0.1172          0.4725 
       25600.00          0.0951          0.4721 
       25650.00          0.1071          0.4691 
       25700.00          0.0631          0.4527 
       25750.00          0.0826          0.4627 
       25800.00          0.1432          0.4277 
       25850.00          0.1429          0.4181 
       25900.00          0.1229          0.4236 
       25950.00          0.1589          0.4147 
       26000.00          0.1330          0.4268 
       26050.00          0.1651          0.4302 
       26100.00          0.1347          0.4204 
       26150.00          0.1192          0.4414 
       26200.00          0.1007          0.4566 
       26250.00          0.1265          0.4600 
       26300.00          0.1098          0.4574 
       26350.00          0.1213          0.4441 
       26400.00          0.1083          0.4607 
       26450.00          0.1434          0.4498 
       26500.00          0.1420          0.4279 
       26550.00          0.1231          0.4788 
       26600.00          0.0851          0.4723 
       26650.00          0.1078          0.4754 
       26700.00          0.1526          0.4452 
       26750.00          0.1473          0.4407 
       26800.00          0.1474          0.4387 
       26850.00          0.1443          0.4409 
       26900.00          0.1274          0.4400 
       26950.00          0.0872          0.4458 
       27000.00          0.0551          0.4457 
       27050.00          0.0811          0.4372 
       27100.00          0.0588          0.4494 
       27150.00          0.0715          0.4442 
       27200.00          0.0660          0.4442 
       27250.00          0.0779          0.4436 
       27300.00          0.0689          0.4536 
       27350.00          0.0590          0.4577 
       27400.00          0.1042          0.4318 
       27450.00          0.0553          0.4456 
       27500.00          0.0636          0.4486 
       27550.00          0.0578          0.4444 
       27600.00          0.0560          0.4523 
       27650.00          0.0357          0.4501 
       27700.00          0.0239          0.4547 
       27750.00          0.0587          0.4429 
       27800.00          0.0677          0.4533 
       27850.00          0.0672          0.4405 
       27900.00          0.1117          0.4345 
       27950.00          0.0731          0.4402 
       28000.00          0.0724          0.4449 
       28050.00          0.0883          0.4442 
       28100.00          0.1339          0.4263 
       28150.00          0.0562          0.4467 
       28200.00          0.0611          0.4370 
       28250.00          0.0881          0.4499 
       28300.00          0.0734          0.4361 
       28350.00          0.0559          0.4432 
       28400.00          0.0483          0.4458 
       28450.00          0.0657          0.4418 
       28500.00          0.0854          0.4344 
       28550.00          0.0819          0.4440 
       28600.00          0.0683          0.4335 
       28650.00          0.0695          0.4341 
       28700.00          0.0888          0.4451 
       28750.00          0.0665          0.4344 
       28800.00          0.0830          0.4466 
       28850.00          0.0397          0.4578 
       28900.00          0.0867          0.4495 
       28950.00          0.1140          0.4248 
       29000.00          0.0723          0.4499 
       29050.00          0.0644          0.4414 
       29100.00          0.1078          0.4538 
       29150.00          0.1171          0.4363 
       29200.00          0.0501          0.4573 
       29250.00          0.0773          0.4559 
       29300.00          0.0707          0.4446 
       29350.00          0.1007          0.4465 
       29400.00          0.0838          0.4432 
       29450.00          0.0639          0.4461 
       29500.00          0.0519          0.4448 
       29550.00          0.1026          0.4328 
       29600.00          0.0682          0.4349 
       29650.00          0.0737          0.4260 
       29700.00          0.0701          0.4382 
       29750.00          0.0728          0.4354 
       29800.00          0.0477          0.4560 
       29850.00          0.0634          0.4562 
       29900.00          0.0674          0.4325 
       29950.00          0.0375          0.4596 
       30000.00          0.0649          0.4459 
       30050.00          0.0608          0.4373 
       30100.00          0.0474          0.4391 
       30150.00          0.0898          0.4336 
       30200.00          0.0722          0.4423 
       30250.00          0.0857          0.4342 
       30300.00          0.0609          0.4392 
       30350.00          0.0472          0.4480 
       30400.00          0.0704          0.4419 
       30450.00          0.0870          0.4411 
       30500.00          0.0876          0.4381 
       30550.00          0.0692          0.4413 
       30600.00          0.0466          0.4477 
       30650.00          0.0547          0.4434 
       30700.00          0.0636          0.4402 
       30750.00          0.0499          0.4444 
       30800.00          0.0716          0.4495 
       30850.00          0.0627          0.4414 
       30900.00          0.0734          0.4370 
       30950.00          0.0386          0.4395 
       31000.00          0.0657          0.4452 
       31050.00          0.0346          0.4415 
       31100.00          0.0700          0.4371 
       31150.00          0.0861          0.4539 
       31200.00          0.1447          0.4191 
       31250.00          0.1188          0.4304 
       31300.00          0.0983          0.4414 
