#          Step             alpha              3_10                pi              beta                SS             other             total
        9400.00                 4                 0                 0                 1                 0                 0                 5
        9450.00                 5                 0                 0                 0                 0                 0                 5
        9500.00                 4                 0                 0                 1                 0                 0                 5
        9550.00                 4                 0                 0                 1                 0                 0                 5
        9600.00                 4                 0                 0                 0                 0                 1                 5
        9650.00                 5                 0                 0                 0                 0                 0                 5
        9700.00                 4                 0                 0                 0                 0                 1                 5
        9750.00                 4                 0                 0                 0                 0                 1                 5
        9800.00                 4                 0                 0                 0                 0                 1                 5
        9850.00                 3                 0                 0                 1                 0                 0                 4
        9900.00                 2                 0                 0                 1                 0                 0                 3
        9950.00                 2                 0                 0                 0                 0                 1                 3
       10000.00                 3                 0                 0                 0                 0                 0                 3
       10050.00                 2                 0                 0                 0                 0                 1                 3
       10100.00                 4                 0                 0                 0                 0                 0                 4
       10150.00                 3                 0                 0                 1                 0                 0                 4
       10200.00                 4                 0                 0                 1                 0                 0                 5
       10250.00                 4                 0                 0                 0                 0                 1                 5
       10300.00                 5                 0                 0                 0                 0                 0                 5
       10350.00                 5                 0                 0                 0                 0                 0                 5
       10400.00                 4                 0                 0                 1                 0                 0                 5
       10450.00                 4                 0                 0                 0                 0                 1                 5
       10500.00                 5                 0                 0                 0                 0                 0                 5
       10550.00                 4                 0                 0                 0                 0                 1                 5
       10600.00                 5                 0                 0                 0                 0                 0                 5
       10650.00                 4                 0                 0                 1                 0                 0                 5
       10700.00                 4                 0                 0                 1                 0                 0                 5
       10750.00                 5                 0                 0                 0                 0                 0                 5
       10800.00                 4                 0                 0                 0                 0                 1                 5
       10850.00                 4                 0                 0                 0                 0                 1                 5
       10900.00                 4                 0                 0                 0                 0                 1                 5
       10950.00                 4                 0                 0                 1                 0                 0                 5
       11000.00                 5                 0                 0                 0                 0                 0                 5
       11050.00                 4                 0                 0                 0                 0                 1                 5
       11100.00                 4                 0                 0                 1                 0                 0                 5
       11150.00                 4                 0                 0                 0                 0                 1                 5
       11200.00                 4                 0                 0                 0                 0                 0                 4
       11250.00                 5                 0                 0                 0                 0                 0                 5
       11300.00                 4                 0                 0                 1                 0                 0                 5
       11350.00                 5                 0                 0                 0                 0                 0                 5
       11400.00                 4                 0                 0                 1                 0                 0                 5
       11450.00                 4                 0                 0                 1                 0                 0                 5
       11500.00                 4                 0                 0                 0                 0                 1                 5
       11550.00                 4                 0                 0                 0                 0                 1                 5
       11600.00                 4                 0                 0                 0                 0                 1                 5
       11650.00                 4                 0                 0                 0                 0                 1                 5
       11700.00                 4                 0                 0                 1                 0                 0                 5
       11750.00                 4                 0                 0                 0                 0                 1                 5
       11800.00                 4                 0                 0                 0                 0                 1                 5
       11850.00                 4                 0                 0                 0                 0                 1                 5
       11900.00                 4                 0                 0                 1                 0                 0                 5
       11950.00                 5                 0                 0                 0                 0                 0                 5
       12000.00                 5                 0                 0                 0                 0                 0                 5
       12050.00                 4                 0                 0                 0                 0                 1                 5
       12100.00                 5                 0                 0                 0                 0                 0                 5
       12150.00                 4                 0                 0                 0                 0                 1                 5
       12200.00                 4                 0                 0                 0                 0                 1                 5
       12250.00                 4                 0                 0                 1                 0                 0                 5
       12300.00                 4                 0                 0                 1                 0                 0                 5
       12350.00                 4                 0                 0                 0                 0                 1                 5
       12400.00                 4                 0                 0                 1                 0                 0                 5
       12450.00                 5                 0                 0                 0                 0                 0                 5
       12500.00                 5                 0                 0                 0                 0                 0                 5
       12550.00                 4                 0                 0                 0                 0                 1                 5
       12600.00                 4                 0                 0                 0                 0                 1                 5
       12650.00                 4                 0                 0                 1                 0                 0                 5
       12700.00                 4                 0                 0                 0                 0                 1                 5
       12750.00                 4                 0                 0                 0                 0                 1                 5
       12800.00                 5                 0                 0                 0                 0                 0                 5
       12850.00                 4                 0                 0                 0                 0                 1                 5
       12900.00                 4                 0                 0                 0                 0                 1                 5
       12950.00                 4                 0                 0                 0                 0                 1                 5
       13000.00                 4                 0                 0                 1                 0                 0                 5
       13050.00                 4                 0                 0                 1                 0                 0                 5
       13100.00                 5                 0                 0                 0                 0                 0                 5
       13150.00                 4                 0                 0                 1                 0                 0                 5
       13200.00                 4                 0                 0                 1                 0                 0                 5
       13250.00                 4                 0                 0                 1                 0                 0                 5
       13300.00                 5                 0                 0                 0                 0                 0                 5
       13350.00                 4                 0                 0                 0                 0                 1                 5
       13400.00                 4                 0                 0                 0                 0                 0                 4
       13450.00                 3                 0                 0                 1                 0                 0                 4
       13500.00                 4                 0                 0                 0                 0                 1                 5
       13550.00                 5                 0                 0                 0                 0                 0                 5
       13600.00                 5                 0                 0                 0                 0                 0                 5
       13650.00                 4                 0                 0                 1                 0                 0                 5
       13700.00                 4                 0                 0                 1                 0                 0                 5
       13750.00                 4                 0                 0                 1                 0                 0                 5
       13800.00                 4                 0                 0                 1                 0                 0                 5
       13850.00                 4                 0                 0                 0                 0                 1                 5
       13900.00                 4                 0                 0                 0                 0                 0                 4
       13950.00                 3                 0                 0                 0                 0                 1                 4
       14000.00                 3                 0                 0                 0                 0                 1                 4
       14050.00                 3                 0                 0                 1                 0                 0                 4
       14100.00                 3                 0                 0                 1                 0                 0                 4
       14150.00                 3                 0                 0                 0                 0                 0                 3
       14200.00                 2                 0                 0                 1                 0                 0                 3
       14250.00                 3                 0                 0                 1                 0                 0                 4
       14300.00                 3                 0                 0                 1                 0                 0                 4
       14350.00                 3                 0                 0                 1                 0                 0                 4
       14400.00                 3                 0                 0                 0                 0                 1                 4
       14450.00                 3                 0                 0                 0                 0                 1                 4
       14500.00                 3                 0                 0                 0                 0                 1                 4
       14550.00                 3                 0                 0                 1                 0                 0                 4
       14600.00                 2                 0                 0                 0                 0                 2                 4
       14650.00                 2                 0                 1                 0                 0                 1                 4
       14700.00                 3                 0                 0                 0                 0                 1                 4
       14750.00                 3                 0                 0                 0                 0                 1                 4
       14800.00                 3                 0                 1                 0                 0                 0                 4
       14850.00                 3                 0                 1                 0                 0                 0                 4
       14900.00                 3                 0                 0                 1                 0                 0                 4
       14950.00                 3                 0                 0                 1                 0                 0                 4
       15000.00                 3                 0                 0                 1                 0                 0                 4
       15050.00                 3                 0                 0                 0                 0                 1                 4
       15100.00                 2                 0                 0                 0                 0                 1                 3
       15150.00                 2                 0                 1                 0                 0                 1                 4
       15200.00                 2                 0                 0                 0                 0                 1                 3
       15250.00                 2                 0                 0                 1                 0                 0                 3
       15300.00                 2                 0                 1                 1                 0                 0                 4
       15350.00                 2                 0                 1                 0                 0                 1                 4
       15400.00                 2                 0                 1                 1                 0                 0                 4
       15450.00                 2                 0                 2                 0                 0                 0                 4
       15500.00                 2                 0                 1                 1                 0                 0                 4
       15550.00                 2                 0                 2                 0                 0                 0                 4
       15600.00                 2                 0                 1                 0                 0                 1                 4
       15650.00                 2                 0                 1                 1                 0                 0                 4
       15700.00                 2                 0                 1                 1                 0                 0                 4
       15750.00                 2                 0                 2                 0                 0                 0                 4
       15800.00                 2                 0                 1                 0                 0                 1                 4
