#          Step          Temp (K)   KinE (kCal/mol)   PotE (kCal/mol)   WalE (kCal/mol)   TotE (kCal/mol)
       12450.00          438.4573           77.1104           -4.6707            0.0000           72.4397
       12500.00          315.1577           55.4260           -3.2418            0.0000           52.1843
       12550.00          442.7363           77.8630           -3.2098            0.0000           74.6532
       12600.00          405.5605           71.3249           -3.7640            0.0000           67.5610
       12650.00          436.9568           76.8465           -2.2549            0.0000           74.5916
       12700.00          450.1250           79.1624           -2.7052            0.0000           76.4572
       12750.00          321.5573           56.5515           -3.4125            0.0000           53.1390
       12800.00          412.3691           72.5223           -1.3817            0.0000           71.1407
       12850.00          450.5372           79.2349           -2.4953            0.0000           76.7396
       12900.00          366.6268           64.4778           -3.5631            0.0000           60.9146
       12950.00          433.3334           76.2093           -4.2320            0.0000           71.9773
       13000.00          498.3479           87.6432           -2.1684            0.0000           85.4748
       13050.00          350.2748           61.6020           -3.9168            0.0000           57.6852
       13100.00          497.8443           87.5547           -2.3304            0.0000           85.2242
       13150.00          375.1300           65.9732           -3.2082            0.0000           62.7650
       13200.00          477.2311           83.9295           -2.7237            0.0000           81.2058
       13250.00          307.3846           54.0590           -0.7916            0.0000           53.2674
       13300.00          293.7340           51.6583           -0.7208            0.0000           50.9374
       13350.00          423.5592           74.4903           -3.7173            0.0000           70.7730
       13400.00          372.1607           65.4510           -2.2914            0.0000           63.1596
       13450.00          406.3190           71.4583           -2.3411            0.0000           69.1172
       13500.00          312.8996           55.0289           -2.5470            0.0000           52.4819
       13550.00          446.8989           78.5950           -2.1703            0.0000           76.4247
       13600.00          381.6075           67.1124           -0.7423            0.0000           66.3700
       13650.00          342.2241           60.1861           -3.8126            0.0000           56.3735
       13700.00          313.6026           55.1525           -1.6861            0.0000           53.4664
       13750.00          394.2821           69.3414           -2.9510            0.0000           66.3905
       13800.00          354.2915           62.3084           -2.5263            0.0000           59.7821
       13850.00          349.6268           61.4880           -3.2065            0.0000           58.2816
       13900.00          348.4931           61.2886           -2.7381            0.0000           58.5506
       13950.00          320.2010           56.3130           -3.7997            0.0000           52.5133
       14000.00          313.4083           55.1184           -2.6932            0.0000           52.4252
       14050.00          460.3202           80.9554           -3.6799            0.0000           77.2755
       14100.00          393.5336           69.2098           -3.4732            0.0000           65.7366
       14150.00          392.6589           69.0560           -2.5844            0.0000           66.4716
       14200.00          262.9156           46.2383           -3.7944            0.0000           42.4440
       14250.00          382.5653           67.2808           -2.3725            0.0000           64.9083
       14300.00          316.8740           55.7279           -2.7711            0.0000           52.9568
       14350.00          390.7650           68.7229           -1.6743            0.0000           67.0486
       14400.00          371.5798           65.3488           -1.4727            0.0000           63.8761
       14450.00          340.5654           59.8944           -2.5074            0.0000           57.3870
       14500.00          379.2684           66.7010           -2.2255            0.0000           64.4755
       14550.00          272.1236           47.8577           -3.0157            0.0000           44.8420
       14600.00          317.6008           55.8557           -3.1475            0.0000           52.7082
       14650.00          445.6557           78.3764           -3.5780            0.0000           74.7984
       14700.00          329.2883           57.9111           -3.1044            0.0000           54.8067
       14750.00          407.5981           71.6833           -3.5021            0.0000           68.1812
       14800.00          513.1317           90.2432           -2.7666            0.0000           87.4766
       14850.00          384.4111           67.6054           -3.2524            0.0000           64.3530
       14900.00          388.9349           68.4010           -3.1656            0.0000           65.2355
       14950.00          489.0887           86.0148           -3.3480            0.0000           82.6668
       15000.00          356.5795           62.7108           -3.0857            0.0000           59.6251
       15050.00          409.0562           71.9397           -3.0925            0.0000           68.8473
       15100.00          359.6482           63.2505           -3.1619            0.0000           60.0886
       15150.00          361.1752           63.5190           -2.8610            0.0000           60.6580
       15200.00          363.4817           63.9246           -3.1409            0.0000           60.7837
       15250.00          383.7438           67.4881           -3.3768            0.0000           64.1113
       15300.00          376.5612           66.2249           -3.2170            0.0000           63.0079
       15350.00          358.2376           63.0024           -0.5541            0.0000           62.4483
       15400.00          421.5736           74.1411           -0.6433            0.0000           73.4978
       15450.00          347.2289           61.0663           -2.7853            0.0000           58.2810
       15500.00          397.9462           69.9858           -2.4177            0.0000           67.5681
       15550.00          366.5035           64.4561           -3.4885            0.0000           60.9676
       15600.00          410.2946           72.1575           -3.9506            0.0000           68.2070
       15650.00          496.5829           87.3328           -2.6903            0.0000           84.6426
       15700.00          385.4045           67.7802           -3.1440            0.0000           64.6362
       15750.00          377.2180           66.3404           -2.3506            0.0000           63.9898
       15800.00          390.6403           68.7010           -3.1182            0.0000           65.5827
       15850.00          306.0599           53.8260           -3.1061            0.0000           50.7199
       15900.00          374.9267           65.9374           -1.7979            0.0000           64.1396
       15950.00          456.5068           80.2847           -3.1215            0.0000           77.1633
       16000.00          406.8789           71.5568           -2.2412            0.0000           69.3156
       16050.00          315.7590           55.5318           -3.0633            0.0000           52.4685
       16100.00          412.5752           72.5586           -2.4096            0.0000           70.1490
       16150.00          414.1593           72.8372           -3.4317            0.0000           69.4054
       16200.00          357.0839           62.7995           -3.5835            0.0000           59.2159
       16250.00          366.4765           64.4513           -3.4714            0.0000           60.9799
       16300.00          453.4550           79.7480           -3.2679            0.0000           76.4802
       16350.00          382.6914           67.3030           -2.2653            0.0000           65.0377
       16400.00          379.6033           66.7599           -3.3147            0.0000           63.4452
       16450.00          430.3816           75.6902           -3.0244            0.0000           72.6657
       16500.00          373.2831           65.6484           -3.4276            0.0000           62.2208
       16550.00          368.1780           64.7506           -3.8621            0.0000           60.8884
       16600.00          408.0776           71.7676           -1.7558            0.0000           70.0118
       16650.00          354.5060           62.3461           -3.2647            0.0000           59.0814
       16700.00          366.6006           64.4732           -2.6740            0.0000           61.7992
       16750.00          380.7243           66.9570           -2.0227            0.0000           64.9344
       16800.00          411.5325           72.3752           -2.7337            0.0000           69.6415
       16850.00          411.7328           72.4104           -4.5016            0.0000           67.9088
       16900.00          366.1216           64.3889           -3.6759            0.0000           60.7130
       16950.00          354.4067           62.3286           -3.4475            0.0000           58.8812
       17000.00          332.3952           58.4575           -2.7369            0.0000           55.7206
       17050.00          470.7415           82.7882           -2.0074            0.0000           80.7807
       17100.00          319.1201           56.1229           -2.5318            0.0000           53.5911
       17150.00          387.1828           68.0929           -3.1564            0.0000           64.9365
       17200.00          389.5395           68.5074           -2.1862            0.0000           66.3211
       17250.00          381.0102           67.0073           -2.2502            0.0000           64.7571
       17300.00          363.1491           63.8662           -2.8203            0.0000           61.0459
       17350.00          373.1794           65.6301           -2.1556            0.0000           63.4746
       17400.00          387.1844           68.0932           -2.6044            0.0000           65.4888
       17450.00          390.9299           68.7519           -1.3590            0.0000           67.3929
       17500.00          347.2559           61.0711           -3.2275            0.0000           57.8436
       17550.00          484.0329           85.1257           -2.1441            0.0000           82.9816
       17600.00          309.6259           54.4531           -3.7279            0.0000           50.7253
       17650.00          349.2240           61.4172           -2.4901            0.0000           58.9271
       17700.00          314.3100           55.2769           -3.5742            0.0000           51.7027
       17750.00          316.8862           55.7300           -3.2281            0.0000           52.5019
       17800.00          309.5146           54.4336           -3.3964            0.0000           51.0372
       17850.00          389.1046           68.4309           -2.4067            0.0000           66.0242
       17900.00          442.7372           77.8631           -1.9740            0.0000           75.8891
       17950.00          455.2255           80.0594           -2.0704            0.0000           77.9890
       18000.00          451.9141           79.4770           -2.8023            0.0000           76.6748
       18050.00          363.5347           63.9340           -3.1576            0.0000           60.7764
       18100.00          343.0865           60.3378           -3.2985            0.0000           57.0393
       18150.00          403.2940           70.9263            0.1019            0.0000           71.0282
       18200.00          394.2057           69.3280           -3.0566            0.0000           66.2714
       18250.00          351.3888           61.7979           -2.5576            0.0000           59.2403
       18300.00          442.2287           77.7737           -1.9235            0.0000           75.8501
       18350.00          385.4835           67.7940           -1.1228            0.0000           66.6712
       18400.00          415.0872           73.0004           -3.1397            0.0000           69.8607
